"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Squat (Barbell)",,"Próx 155 4reps dps 6reps",0,"normal",150,4,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Squat (Barbell)",,"Próx 155 4reps dps 6reps",1,"failure",150,6,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Leg Press (Machine)",,"",0,"normal",40,7,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Leg Press (Machine)",,"",1,"failure",50,7,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Lying Leg Curl (Machine)",,"Próx 42.5 8reps 45 7reps",0,"normal",40,9,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Lying Leg Curl (Machine)",,"Próx 42.5 8reps 45 7reps",1,"failure",42.5,8,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Leg Extension (Machine)",,"Próx 82.5kg 9reps 85kg 8reps",0,"normal",80,9,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Leg Extension (Machine)",,"Próx 82.5kg 9reps 85kg 8reps",1,"failure",82.5,8,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Calf Extension (Machine)",,"",0,"normal",175,11,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Calf Extension (Machine)",,"",1,"normal",180,11,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Calf Extension (Machine)",,"",2,"failure",185,9,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Cable Crunch",,"",0,"failure",25,12,,,
"Leg day - quarta-feira","23 Jul 2025, 16:02","23 Jul 2025, 18:03","","Cable Crunch",,"",1,"failure",26.25,9,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Bench Press (Barbell)",,"Próx 85kg 4reps 2x",0,"normal",77.5,7,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Bench Press (Barbell)",,"Próx 85kg 4reps 2x",1,"failure",82.5,6,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Seated Chest Flys (Cable)",,"Próx 14.5 8ee",0,"normal",13,8,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Seated Chest Flys (Cable)",,"Próx 14.5 8ee",1,"failure",14.5,8,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Seated Shoulder Press (Machine)",,"",0,"normal",57.5,7,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Seated Shoulder Press (Machine)",,"",1,"failure",60,5,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Upright Row (Barbell)",,"Próx 57.5 8reps 60 6reps",0,"normal",57.5,8,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Upright Row (Barbell)",,"Próx 57.5 8reps 60 6reps",1,"failure",57.5,8,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Skullcrusher (Barbell)",,"",0,"normal",47.5,5,,,
"Push day - terça","22 Jul 2025, 17:24","22 Jul 2025, 18:28","","Skullcrusher (Barbell)",,"",1,"failure",47.5,6,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","Seated Cable Row - Bar Wide Grip",,"Começar 70kg 6reps 72.5 5reps",0,"normal",70,4,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","Seated Cable Row - Bar Wide Grip",,"Começar 70kg 6reps 72.5 5reps",1,"failure",70,7,,,
"Pull day - segunda-feira","21 Jul 2025, 15:20","21 Jul 2025, 16:58","","Pull Up (Weighted)",,"",0,"normal",10,6,,,
